Irr_area_ha,Precip_mm,WTD_Rnd_Frst_m,WTD_USGS_m,aquifer_state,aquifer_region,aquifer,state,year,month
72710.3515625,74.87649286477412,27.052288083538084,22.10751726572039,HPA_TX,HPA_TX_South,HPA,Texas,1986,5
118923.015625,52.7116733033241,7.516389024715505,3.832460017745845,HPA_KS,HPA_KS,HPA,Kansas,1986,5
999.3064575195312,41.84878743489583,9.960924275716145,2.4972910563151043,HPA_KS,HPA_KS,HPA,Kansas,1986,5
344885.5,33.34362537387837,34.36908623417722,15.377647331443171,HPA_KS,HPA_KS_West,HPA,Kansas,1986,5
953253.125,0.6259299432663691,40.553394730567476,13.314857700892857,CV_CA,CV_CA_Tulare,CV,California,1986,5
647752.5625,6.324028841996541,8.454126582824202,3.5427315526518064,CV_CA,CV_CA_Sacramento,CV,California,1986,5
927129.25,3.858737234477124,19.05876032782516,7.448410947712419,CV_CA,CV_CA_SanJoaquin,CV,California,1986,5
240575.5625,16.8128259452412,24.322925429004037,21.886700924869622,SRP_ID,SRP_ID_West,SRP,Idaho,1986,5
,,,,SRP_ID,SRP_ID,SRP,Idaho,1986,5
670547.0,3.7400029972069984,27.597364403735632,24.07452615584598,CP_WA,CP_WA,CP,Washigton,1986,6
2119605.5,94.31931111513614,18.10660861929628,17.376569763931656,HPA_NE,HPA_NE,HPA,Nebraska,1986,6
62719.7109375,50.931930954391895,21.800786318663494,17.85321869721284,RG_NM,RG_NM,RG,New Mexico,1986,6
459596.09375,25.853077136235388,47.27235413227404,22.500168467855705,SRP_ID,SRP_ID_East,SRP,Idaho,1986,6
198363.0,3.3411735327579706,46.839507472826085,13.69814078656829,BR_AZ,BR_AZ,BR,Arizona,1986,6
99697.1015625,23.223044539424514,6.0731589577414775,2.7785478486430306,RG_CO,RG_CO,RG,Colorado,1986,6
493466.9375,98.24607513817419,63.97469783107204,18.088654826567563,HPA_TX,HPA_TX_North,HPA,Texas,1986,6
34634.6953125,86.13001446177063,43.566433981997974,35.72882608148893,HPA_OK,HPA_OK,HPA,Oklahoma,1986,6
174328.15625,65.3788029546681,37.260467980295566,22.88390447922288,HPA_CO,HPA_CO,HPA,Colorado,1986,6
166122.75,7.31398935029001,25.540158757903697,18.00631991299716,CP_OR,CP_OR,CP,Oregon,1986,6
174377.5,4.151902203334777,13.110725882237432,16.04489734462971,BR_NV,BR_NV,BR,Nevada,1986,6
159808.09375,8.432978157722513,14.662402077656676,26.463328288612566,BR_UT,BR_UT,BR,Utah,1986,6
278661.4375,58.18905939672294,8.602828101120734,7.202315238642006,DBA_CO,DBA_CO,DBA,Colorado,1986,6
72710.3515625,165.98922084859583,27.052288083538084,22.10751726572039,HPA_TX,HPA_TX_South,HPA,Texas,1986,6
118923.015625,102.07047480955679,7.516389024715505,3.832460017745845,HPA_KS,HPA_KS,HPA,Kansas,1986,6
999.3064575195312,96.31853841145833,9.960924275716145,2.4972910563151043,HPA_KS,HPA_KS,HPA,Kansas,1986,6
344885.5,86.97255109670986,34.36908623417722,15.377647331443171,HPA_KS,HPA_KS_West,HPA,Kansas,1986,6
953253.125,0.0,40.553394730567476,13.314857700892857,CV_CA,CV_CA_Tulare,CV,California,1986,6
647752.5625,0.3631520487545638,8.454126582824202,3.5427315526518064,CV_CA,CV_CA_Sacramento,CV,California,1986,6
927129.25,0.0,19.05876032782516,7.448410947712419,CV_CA,CV_CA_SanJoaquin,CV,California,1986,6
240575.5625,8.60117162035528,24.322925429004037,21.886700924869622,SRP_ID,SRP_ID_West,SRP,Idaho,1986,6
,,,,SRP_ID,SRP_ID,SRP,Idaho,1986,6
